cluster,city,goodsan,goodwat,radio,tv,sumasset,lisradio,gradef,pregnant,curuse,curmeth,fpmess,partner,idealnum,gradep,agef,addesir,hofp5,hcfp5,difp5,notpreg
119,1,0,1,1,0,1,1,4,0,0,3,1,1,10,4,38,6,0,0,0,1
32,0,0,1,1,0,1,1,5,0,0,3,1,0,4,0,46,-1,0,0,1,1
299,1,0,1,0,0,0,1,0,1,,3,1,1,10,7,23,7,1,0,1,0
235,0,0,1,1,0,2,1,0,0,0,3,1,1,6,8,36,1,1,0,0,1
299,1,0,1,1,0,1,1,7,0,0,3,1,1,6,7,22,3,1,0,1,1
297,0,0,0,1,0,2,1,7,0,0,3,0,0,5,0,19,4,0,1,1,1
299,1,0,1,1,0,1,1,7,0,1,1,1,1,5,7,33,1,1,0,1,1
299,1,0,1,0,0,0,1,7,0,0,3,1,0,4,0,18,4,1,0,1,1
297,0,0,0,0,0,0,0,0,0,0,3,0,1,10,2,47,1,0,1,1,1
100,1,0,1,1,0,1,1,7,0,0,3,0,1,4,12,23,,1,1,0,1
299,1,0,1,0,0,0,1,7,0,0,3,1,1,4,12,22,4,1,0,1,1
299,1,0,1,0,0,0,1,6,0,0,1,1,1,4,4,33,-3,1,0,1,1
104,,0,1,1,0,1,1,9,0,0,3,0,0,6,0,16,6,1,1,1,1
100,1,0,1,1,0,2,1,7,0,0,1,1,1,4,8,42,-2,1,1,0,1
104,,0,1,0,0,0,0,6,0,1,2,1,1,6,4,36,0,1,1,1,1
237,0,0,0,1,0,1,1,7,0,0,3,1,0,6,0,35,3,1,0,1,1
298,1,0,1,1,0,1,1,7,0,0,3,1,1,4,7,28,4,1,0,1,1
299,1,0,1,1,0,2,1,7,0,0,3,1,0,4,0,20,4,1,0,1,1
67,1,1,1,1,1,3,1,12,0,0,3,0,1,4,12,26,2,1,1,1,1
83,0,0,0,1,0,1,1,0,0,0,3,0,0,6,0,16,5,0,0,0,1
157,0,0,1,1,0,1,1,0,0,0,3,1,0,4,0,15,4,1,0,0,1
299,1,0,1,1,0,2,1,7,0,0,3,0,0,4,0,32,1,1,0,1,1
67,1,0,1,1,0,1,1,7,1,,3,0,1,7,7,28,4,1,1,1,0
238,0,1,1,1,0,2,1,7,0,0,3,0,0,5,0,18,4,1,0,1,1
67,1,0,1,1,0,3,1,7,0,1,1,1,1,6,7,20,5,1,1,1,1
254,1,0,1,1,0,1,1,2,0,0,3,1,1,10,7,42,1,1,0,1,1
97,1,0,1,1,0,2,1,7,0,0,3,1,1,4,,29,2,0,1,1,1
81,0,0,1,0,0,0,1,12,0,0,3,0,0,4,0,26,4,0,0,0,1
222,1,0,0,0,0,1,0,4,0,0,3,0,1,,4,43,,1,0,1,1
222,1,0,1,0,0,0,0,7,0,0,3,1,0,,0,33,,1,0,1,1
101,1,0,1,0,0,0,1,7,0,0,3,1,0,4,0,19,4,1,0,0,1
49,1,0,1,1,0,1,1,7,0,1,2,1,1,2,7,22,1,1,0,0,1
237,0,0,1,0,0,0,1,7,1,,3,1,1,8,12,35,4,1,0,1,0
297,0,0,0,0,0,0,0,7,1,,3,0,1,7,7,19,5,0,1,1,0
298,1,0,1,1,0,2,1,7,0,1,1,1,0,2,0,18,2,1,0,1,1
299,1,0,1,1,,1,1,7,0,0,3,1,1,5,7,27,0,1,0,1,1
65,0,0,1,1,0,2,1,7,0,1,2,1,1,5,7,31,1,1,0,0,1
105,1,0,1,1,0,1,1,7,0,0,3,1,1,4,12,30,0,0,0,0,1
125,0,0,1,0,0,0,0,7,0,0,3,1,1,8,7,29,3,0,0,0,1
298,1,0,1,1,0,1,1,7,0,0,3,1,1,6,7,29,3,1,0,1,1
126,0,0,0,1,0,1,1,4,0,0,3,0,1,6,8,35,4,0,0,0,1
143,1,0,1,0,0,0,0,3,0,0,3,0,1,10,4,40,10,1,0,0,1
67,1,1,1,1,1,6,1,0,0,0,3,0,0,5,0,43,1,1,1,1,1
313,0,0,1,1,0,2,1,7,0,0,3,0,0,5,0,16,5,0,0,1,1
120,1,0,1,1,0,1,1,7,0,1,1,0,1,6,,28,4,0,0,1,1
204,1,0,0,1,0,3,1,4,0,0,3,1,0,5,0,15,5,1,1,0,1
297,0,0,0,0,0,1,0,6,1,,3,0,0,7,0,17,,0,1,1,0
17,1,0,1,1,0,1,1,7,0,1,1,1,1,,15,37,,1,1,0,1
237,0,0,1,0,0,0,0,7,0,0,3,1,0,4,0,36,2,1,0,1,1
120,1,0,1,1,0,1,1,7,0,1,1,1,1,4,3,27,3,0,0,1,1
81,0,0,1,0,0,0,1,6,0,0,3,0,1,6,,20,,0,0,0,1
99,1,0,1,0,0,0,1,0,0,0,3,0,1,12,7,42,6,1,0,1,1
35,1,0,1,1,0,1,1,1,0,0,3,0,1,4,7,27,1,0,0,1,1
66,1,0,1,1,0,1,1,4,0,0,3,1,1,7,8,37,-1,1,1,1,1
189,0,0,1,0,0,0,0,5,0,0,3,0,1,5,,34,1,1,0,0,1
35,1,0,1,0,0,0,0,0,0,1,1,0,0,8,0,35,3,0,0,1,1
66,1,0,1,1,,1,1,4,0,0,3,1,1,5,,43,0,1,1,1,1
